2025/11/23 18:02:46 [emerg] 16760#5100: CreateDirectory() "C:/nginx-rtmp/hls" failed (3: The system cannot find the path specified)
2025/11/23 18:05:02 [error] 3420#7660: *1 CreateFile() "C:\nginx-rtmp/html/history/history.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /history/history.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/11/23 18:05:02 [error] 3420#7660: *1 CreateFile() "C:\nginx-rtmp/html/history/history.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /history/history.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/11/23 18:05:02 [error] 3420#7660: *1 CreateFile() "C:\nginx-rtmp/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/11/23 18:07:58 [error] 3420#7660: *6 CreateFile() "C:\nginx-rtmp/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/11/23 18:09:18 [error] 3420#7660: *8 CreateFile() "C:\nginx-rtmp/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.html"
2025/11/23 18:09:30 [error] 3420#7660: *11 CreateFile() "C:\nginx-rtmp/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.html"
2025/11/23 18:17:14 [error] 3420#7660: *23 CreateFile() "C:\nginx-rtmp/html/.well-known/appspecific/com.chrome.devtools.json" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost:8080"
2025/11/23 18:18:17 [error] 3420#7660: *37 CreateFile() "C:\nginx-rtmp/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.html"
2025/11/23 18:19:34 [error] 3420#7660: *37 CreateFile() "C:/nginx-rtmp/hls/admin.m3u8" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /hls/admin.m3u8 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.html"
2025/11/23 18:19:35 [error] 3420#7660: *37 CreateFile() "C:/nginx-rtmp/hls/admin.m3u8" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /hls/admin.m3u8 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.html"
2025/11/23 18:19:36 [error] 3420#7660: *39 CreateFile() "C:/nginx-rtmp/hls/admin.m3u8" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /hls/admin.m3u8 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/11/23 18:19:37 [error] 3420#7660: *37 CreateFile() "C:/nginx-rtmp/hls/admin.m3u8" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /hls/admin.m3u8 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.html"
2025/11/23 18:19:38 [error] 3420#7660: *39 CreateFile() "C:/nginx-rtmp/hls/admin.m3u8" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /hls/admin.m3u8 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2025/11/23 18:19:41 [error] 3420#7660: *39 CreateFile() "C:/nginx-rtmp/hls/admin.m3u8" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /hls/admin.m3u8 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
